url,clean text,category,2nd category
https://www.archaeology.org/news/8852-200714-england-henge-skeleton,"Finds Spanning 4,000 Years Unearthed in Southeast England. BUCKINGHAMSHIRE, ENGLAND— BBC News reports that an excavation in southeast England under the direction of archaeologist Rachel Wood, ahead of the construction of a high-speed railway line, has uncovered evidence of occupation spanning a 4,000-year period. The finds include traces of a Neolithic wooden henge whose features are aligned with the winter solstice, and the 2,000-year-old remains of a man who was buried face down with his hands bound behind his back. Wood thinks he may have been murdered. “We hope our osteologists will be able to shed more light on this potentially gruesome death,” she said. In addition to the Iron Age skeleton, the project has uncovered a gold coin dated to about 100 B.C., and a Roman-era lead coffin that also contained a skeleton. This coffin probably had a wooden outer layer, Wood added. ",Neolithic,Iron Age
https://www.archaeology.org/news/8959-200817-tuberculosis-genome-analyzed,"Genome Study Yields New Date for Arrival of TB in Europe. JENA, GERMANY—According to a statement released by the Max Planck Institute for the Science of Human History , an international team of researchers obtained a sample of the bacterium that causes tuberculosis from the well-preserved lungs of Bishop Peder Winstrup of Lund, Sweden, who died in 1679, during an outbreak known as the “White Plague.” It had been previously thought that tuberculosis evolved early in human history because it is so widespread among human populations, but analysis of the genome of this Mycobacterium tuberculosis sample, when combined with its known date and other tuberculosis genomes, indicates that the disease emerged just 6,000 years ago, during Europe’s Neolithic period. Team member Denise Kühnert said that the rise of pastoralism and more sedentary lifestyles may have contributed to the emergence of the pathogen. ",Medieval,Neolithic
https://www.archaeology.org/news/8988-200831-vindolanda-christian-chalice,"Early Christian Chalice Unearthed in Northern England. NORTHUMBERLAND, ENGLAND— The Guardian reports that pieces of a fifth-century lead chalice, covered inside and out with Christian iconography, have been unearthed within a collapsed church structure at Vindolanda, a Roman fort located on Hadrian’s Wall in northern England. The images include crosses, angels, a smiling priestly figure holding a crook, fish, a whale, ships, and the chi-rho, a symbol made up of the first two letters of the Greek word for Christ. “It’s just remarkable,” said archaeologist Andrew Birley. “Nothing in northwestern Europe comes close from the period.” The chalice also bears letters written in Latin, Greek, and possibly Ogam, an early medieval script. Birley explained that the discovery helps scholars to understand how the people at Vindolanda lived after the fall of Rome. ",Roman,Medieval
https://www.archaeology.org/news/8703-200519-asia-rice-farming,"Multidisciplinary Study Tracks Spread of Rice Farming. NEW YORK, NEW YORK—According to a statement released by New York University , researchers Michael D. Purugganan, Rafal M. Gutaker, and their colleagues combined information about the genomes of more than 1,400 varieties of rice with geographical, archaeological, and historical climate data to trace the spread of rice farming across northern and southern Asia. It had been previously thought that rice diversity was based upon the amount of available water, but the study suggests that temperature may have been the key factor. The researchers determined that the japonica subspecies of Asian rice, which was first cultivated in China some 9,000 years ago, was mainly farmed in China for some 4,000 years, until a global cooling event some 4,200 years ago. At that point, japonica rice split into temperate and tropical varieties. The temperate varieties were grown in northern China, Korea, and Japan, while the tropical varieties spread to Southeast Asia. The researchers explained that this change in varieties of rice some 4,200 years ago is reflected in the archaeological record. The genetic analysis and archaeological record also indicate that tropical japonica rice reached islands in Southeast Asia some 2,500 years ago through trade networks. The indica subspecies of rice, on the other hand, originated in India’s lower Ganges Valley some 4,000 years ago, and was probably first transported to China some 2,000 years ago. ",East Asia,South&Southeast Asia
https://www.archaeology.org/news/8787-200610-ireland-long-boat,"Possible Ancient Longboat Recovered in Ireland. LISACUL, IRELAND— The Irish Independent reports that a 12-year-old boy discovered the remains of a wooden longboat while wading in a lake in north-central Ireland’s County Roscommon. The vessel may have been built as early as the Neolithic period or as late as the Middle Ages. There is one crannóg, or artificial island, in the lake, which may have been connected to a river thousands of years ago. The boy and his family contacted the Underwater Archaeology Unit of Ireland’s Department of Culture, Heritage and the Gaeltacht after removing the 17- and one-half-foot piece of wood from the water. The officials advised the family members to return the ancient artifact to the water to help preserve it. ",Neolithic,Medieval
https://www.archaeology.org/news/8589-200413-serbia-viminacium-ship,"Three Well-Preserved Ancient Boats Unearthed in Serbia. KOSTOLAC, SERBIA— Ars Technica reports that coal miners in eastern Serbia discovered three boats in what may have been a branch of the Danube River some 1,300 years ago. The site where the vessels were uncovered is near the ancient Roman city of Viminacium, which fell to invaders around A.D. 600. Archaeologist Miomir Korac of the Viminacium Science Project said that the largest of the three boats, which was seriously damaged by the miners’ equipment, had a flat bottom, a single deck, at least six pairs of oars, fittings for a triangular sail, and measured about 49 feet long. Korac thinks it dates to the Roman period, since it was built with Roman techniques, but those methods of construction may have still been in use during the Byzantine and medieval periods, he explained. The two smaller boats were carved from single tree trunks, and are thought to have been made by Slavic peoples for crossing the river. No signs of battle damage have been found on the boats, and no artifacts were left behind by the crews. Korac suggests the ship could have been abandoned and scuttled during the invasion to keep it out of enemy hands. Radiocarbon dates from the site could help answer some of these questions, he added. ",Roman,Medieval
https://www.archaeology.org/news/9137-201014-china-leather-balls,"Leather Balls Found in Ancient Graves in Northwest China. ZURICH, SWITZERLAND—According to a statement released by the University of Zurich , three leather balls recovered from graves in the Yanghai ancient cemetery in northwestern China have been analyzed by an international team of researchers. Two of the balls were found in the graves of horsemen. A composite bow was also found in one of these graves. Patrick Wertmann of the University of Zurich said that the balls, which measure between about three and three and one-half inches in diameter, have been dated to between 3,200 and 2,900 years old, and are therefore about 500 years older than the previously oldest-known balls in Eurasia. Curved sticks have also been unearthed at Yanghai, but they are not as old as the leather balls, he added. The presence of the balls in the graves suggests that ball games may have been part of military training, Wertmann explained. ",Bronze Age,East Asia
https://www.archaeology.org/news/8695-200514-england-aerial-images,"Volunteers Spot New Sites in Aerial Images of England. EXETER, ENGLAND— The Guardian reports that eight volunteers working with landscape archaeologist Chris Smart of the University of Exeter have spotted 30 previously unknown Roman settlements, more than 200 miles of roads, 20 prehistoric burial mounds, and hundreds of medieval farms in highly detailed lidar scans of southwest Britain’s Tamar Valley. “I knew we’d find some things but I didn’t think it would be so many,” Smart said. The ancient roads, which probably connected Roman military forts, appear as faint white marks in the aerial images. Nearby black dots are thought to have been quarry pits. “We’re seeing a much greater density of population than we thought,” Smart added. The locations of the possible archaeological sites are being kept confidential for now, but will be investigated in the future. ",Roman,Medieval
https://www.archaeology.org/news/9153-201021-turkey-snake-altar,"Snake Altar Unearthed in Turkey. ANTALYA, TURKEY— Yeni Şafak reports that a marble altar encircled with a coiled snake carved in relief has been unearthed at the ancient city of Patara in southern Turkey. Estimated to be more than 2,000 years old, the altar was found near the city walls and a public bath. “Similar discoveries were made in some ancient cities in Muğla but this is the first time such a discovery has been made in Patara,” said Mustafa Koçak of Antalya Bilim University. “This altar depicts the relations of people in Patara with the outside world,” he added. ",Roman,Iron Age
https://www.archaeology.org/news/8536-200320-china-diet-differences,"Study Examines Food and Gender in Bronze Age China. DUNEDIN, NEW ZEALAND—According to an Otago Daily Times report, an analysis of isotopes in teeth suggests that boys and girls living in China’s Central Plains during the Eastern Zhou Dynasty some 2,500 years ago were fed different foods. In analyzing remains from burials at the sites of Xiyasi and Changxinyuan, bioarchaeologist Melanie Miller and her colleagues found that children were breastfed until they were between the ages of two-and-a-half and four years old, when they were weaned onto foods made from wheat and soybeans. The girls, however, were weaned slightly earlier than the males, Miller said. Females continued to eat more wheat and soy as they grew up, while males ate more millet, she added. Miller and her team think these dietary differences could reflect the social inequality that emerged in China's Bronze Age. ",Bronze Age,East Asia
https://www.archaeology.org/news/9154-201021-turkey-medieval-palace,"Main Gate Discovered at Harran Palace. SANLIURFA, TURKEY— The Anadolu Agency reports that Mehmet Önal of Harran University and his colleagues have unearthed the main gate at Harran Palace, which was built in southeastern Turkey in the ninth century A.D. First occupied around 6000 B.C., the city of Harran was situated along trade routes to cities such as Nineveh, Iskenderun, and Antioch. “The gate, around 23 feet high, is made of basalt stones,” Önal said. “Star motifs were also unearthed in our excavations near the ground.” Some of the basalt stones bear inscriptions written in Arabic, he added. A three-domed bathhouse dating to the twelfth and thirteenth centuries has also been found among the hundreds of rooms at the medieval palace. ",Near East,Neolithic
https://www.archaeology.org/news/9087-201007-thailand-rock-art,"Rock Art Discovered in Remote Cave in Thailand. BANGKOK, THAILAND— AFP reports that archaeologist Kanniga Premjai and her team of climbers have discovered rock art in one of the remote, unmapped caves in Sam Roi Yot National Park, which is located in the northern Malay Peninsula. Kanniga estimates the ochre drawings are between 2,000 and 3,000 years old. Noel Hidalgo Tan of Southeast Asia’s Regional Center for Archaeology and Fine Arts said the rock art was likely created by hunter-gatherers who had a camp in the mountains. Thailand’s oldest-known rock art, located further north, is between 5,000 and 11,000 years old, Kanniga added. ",Neolithic,South&Southeast Asia
https://www.archaeology.org/news/8817-200623-poland-prehistoric-diet,"Poland’s Prehistoric Diet Analyzed. WARSAW, POLAND—According to a Science in Poland report, researchers led by Krzysztof Szostek of Cardinal Stefan Wyszyński University analyzed the skeletons of people buried in southern Poland over a period of about 5,000 years, and compared the isotopes in those remains with the composition of animal bones and grains recovered from the archaeological sites. “Until now, isotope research on diet reconstruction was performed without taking archaeobotanical analyses into account,” Szostek explained. The comparison suggests that people ate little meat during the Neolithic period and the Bronze Age. Instead, Szostek said, their diet was made up of about 50 percent plants. “The use of animals was maximized, for example, to obtain milk or skins,” he added. “Obtaining meat from animals was not a priority.” ",Neolithic,Bronze Age
