url,category,clean text
https://www.archaeology.org/news/8830-200630-maya-guatemala-water,Pre-Columbian,"Scientists Analyze Tikal’s Polluted Waters. CINCINNATI, OHIO—According to a statement released by the University of Cincinnati , a team of scientists analyzed layers of sediments collected from ten reservoirs in the Maya city of Tikal, which is located in northern Guatemala. Founded in the third century B.C., the city was abandoned by the ninth century A.D., when a series of droughts occurred. The researchers detected toxic levels of cyanobacteria in the water near Tikal’s central temple. Biologist David Lentz said consuming this water, even if it had been boiled, would have made people ill, especially during droughts. Algae blooms would have made the water look and taste bad anyway, added anthropologist Kenneth Tankersley. Mercury in the reservoir near the city’s palace was traced to cinnabar, a red pigment used to paint murals and decorate buildings and pottery. When it rained, mercury is thought to have leached from the pigment and collected in the reservoir, since analysis of the sediment with energy dispersive X-ray fluorescence spectrometry confirmed that the contamination did not come from the underlying bedrock, Tankersley said. The scientists concluded that Tikal’s residents are likely to have relied on other reservoirs in the city for uncontaminated drinking water, while the pools in the center of the city probably served as symbols of Maya rulers’ control over the water supply. "
https://www.archaeology.org/news/9020-200911-cambodia-lion-statue,South&Southeast Asia,"Massive Lion Sculpture Uncovered in Cambodia. PHNOM PENH, CAMBODIA—According to a report in The Phnom Penh Post , two pieces of a six-foot-tall statue of a lion were unearthed by mine-clearing experts preparing the site of a new groundwater reservoir along the Tonle Sap River. Hab Touch of Cambodia’s Ministry of Culture and Fine Arts said the large size of the statue suggests it may have been part of a bridge. Further study of the sculpture at the National Museum could offer clues to when it was carved. “We cannot make assumptions of the lion that we found during mine clearance for the reservoir plan because we don’t have any connections regarding the statue,” explained museum director Chhay Visoth. “Normally, we can know the date of an artifact by identifying other things around it.” "
https://www.archaeology.org/news/8716-200526-spain-hugh-o-donnell,Medieval,"Archaeologists in Spain Seek Grave of 16th-Century Irish Hero. VALLADOLID, SPAIN— The Irish Times reports that a team of researchers led by archaeologist Óscar Burón have uncovered human remains at what may be the burial place of Red Hugh O’Donnell, an Irish nobleman who led a rebellion against the government in Ireland and died in Spain in 1602, after attempting to persuade Spanish king Philip III to send additional troops to Ireland to continue the fight against the English. Historical accounts record that O’Donnell’s body was carried to the king’s palace in Valladolid and then buried in the so-called Chapel of Marvels at a Franciscan convent, where Christopher Columbus was first buried after his death in 1506. O’Donnell’s grave was lost when the convent was demolished in 1836. Burón said the researchers should be able to identify O’Donnell’s remains because he lost his big toes to frostbite in 1591 while hiding in the mountains after escaping from prison in Dublin. "
https://www.archaeology.org/news/8995-200902-phoenician-figurines-offerings,Iron Age,"New Thoughts on Phoenician Figurines. HAIFA, ISRAEL—Meir Edrey and his colleagues Adi Erlich and Assaf Yasur Landau, all of the University of Haifa, have analyzed pottery and clay figurines recovered in 1972 from an underwater site off the coast of western Galilee, according to a New York Times report. It had been previously thought that the hundreds of figurines and jars, which were found in a jumble on the seafloor, were cargo on a Phoenician ship that sank in the Mediterranean Sea some 2,500 years ago. Edrey now suggests that the items, which vary in style, were deposited as offerings between the seventh and third centuries B.C. by members of a cult devoted to fertility and seafaring. Many of the figurines bear symbols associated with the mother goddess Tanit; dolphin symbols, which are also associated with Tanit; or depict a pregnant woman carrying a child. The researchers think the pottery may have been cast into the water as a ritual or a symbolic sacrifice. The position of the hands in some of the figurines, with the right hand upright and the left below the mouth, may indicate a vow in exchange for divine favor, Edrey added. "
https://www.archaeology.org/news/9011-200909-norway-german-warship,Modern,"World War II-Era German Shipwreck Found Near Norway. KRISTIANSAND, NORWAY— CBS News reports that the 571-foot German warship Karlsruhe was found under 1,600 feet of water off the coast of Norway by the power company Statnett with multibeam echo sounders and a remotely operated vehicle. The ship, equipped with nine cannons and three triple turrets, led the invasion of Norway on April 9, 1940, but was struck by a British submarine torpedo on its return trip. The crew of the Karlsruhe evacuated the ship and then scuttled it. The vessel now rests upright on the seafloor, about 50 feet away from a power cable connecting Norway and Denmark that was laid in 1977. "
https://www.archaeology.org/news/9163-201023-race-massacre-update,Modern,"More Possible Graves of Oklahoma Race Massacre Victims Found. TULSA, OKLAHOMA— Tulsa World reports that researchers looking for the remains of victims of Tulsa's 1921 Race Massacre have found an unmarked trench holding the poorly preserved remains of ten wooden coffins in Oaklawn Cemetery. The trench was found near a single burial discovered earlier this week, in an area of the cemetery noted in old funeral home records as a burial site for some of the 300 Black people killed by a white mob on May 31 and June 1, 1921. State archaeologist Kary Stackelbeck said the single burial differs slightly from the burials in the trench. The bones in the trench, she added, are too fragile to examine in place, and so will remain covered while the research team makes plans to exhume them. “We have a lot of work to do to determine the nature of [this] mass grave and who is buried in it, but what we can say is that we have a mass grave in Oaklawn Cemetery where we have no record of anyone being buried,” commented city mayor G.T. Bynum. "
https://www.archaeology.org/news/8821-200625-luxor-avenue-sphinxes,Egyptian,"Kilns and Walls Found at Egypt’s Avenue of Sphinxes. LUXOR, EGYPT—According to an Ahram Online report, several structures were uncovered during an excavation at the Avenue of Sphinxes, a ceremonial passageway lined with ram-headed sculptures that once connected temples in Luxor and Karnak. Mudbrick kilns dating to the Roman period (30 B.C.–A.D. 640) are thought to have been used to fire pottery. A wall dated to the Egyptian Late Period (712–332 B.C.) would have protected Luxor from the floodwaters of the Nile River. Another 100-foot-long section of wall made of sandstone blocks still stands about eight feet tall and ten feet wide. "
https://www.archaeology.org/news/8670-200504-england-seated-burial,Bronze Age,"Unusual Bronze Age Burials Found in England. GLOUCESTERSHIRE, ENGLAND— Live Science reports that two Bronze Age burials situated within a circular ditch were unearthed in southwestern England by a team including Andy Hood of Foundations Archaeology. The first burial, placed in the center of the circle, contained the remains of a possible chieftain, who had been placed in the grave on his side in a crouched position. The skulls and hooves of four cattle, a copper dagger with a whale-bone pommel, a stone wrist guard, an amber bead, and a flint and iron pyrite for starting fires were also found in the grave. The second grave, found near the first, held the remains of an older man placed in a seated position, and the skull and hooves of one animal. Radiocarbon dating of the burials indicates the men lived around 4,200 years ago, and the artifacts in both burials indicate the men might have been members of the Beaker culture. “One of the mysteries is, what was the relationship between those two men?” Hood asked. He explained that the chieftain’s burial is the only such burial in Britain to hold the parts of multiple cattle. “It’s quite a significant investment of wealth to go into the ground.” He added that the older man’s seated burial is also considered to be unusual. “We haven’t found a direct parallel elsewhere in Bronze Age Britain.” "
https://www.archaeology.org/news/9177-201030-china-denisovan-dna,Pre-Human,"Denisovan DNA Dated in China. LANZHOU, CHINA— Science News reports that Dongju Zhang of Lanzhou University and her colleagues have dated Denisovan mitochondrial DNA found in the layers of sediments in Baishiya Karst Cave on the Tibetan Plateau, which is located some 1,700 miles to the northwest of Siberia’s Denisova Cave, where Denisovan remains were first identified. Stone tools and animal bones were also recovered from the layers. Zhang said the presence of Denisovan genetic material in Baishiya Karst Cave suggests that Denisovans lived on the Tibetan Plateau some 100,000 years ago, and then again 60,000 years ago. DNA in layers dated to between 50,000 and 30,000 years ago further suggest that the hominins could have encountered modern humans, who arrived in the region some 40,000 years ago. Interbreeding with Denisovans may have helped modern humans adapt to living at the high altitude of the Tibetan Plateau, although it is not clear if that mixing took place there. Zhang said the study also suggests that Denisovan populations were widespread in eastern Eurasia. "
https://www.archaeology.org/news/8531-200318-russia-mammoth-bones,Paleolithic,"Massive Mammoth-Bone Structure Found in Kostenki, Russia. EXETER, ENGLAND— Haaretz reports that a circular structure measuring about 41 feet in diameter has been found near western Russia’s Don River by an international team of researchers led by Alexander Pryor of the University of Exeter. Two smaller mammoth-bone circles have been found nearby. Made of the bones of at least 60 mammoths, the newly uncovered bone circle is thought to be 25,000 years old. Traces of scattered wood fires, burned bones, food remains, and a few stone tools have been found within it, but the researchers suggest Paleolithic people did not consume daily meals at the site. It had been previously thought that bones were the only fuel available to people who built such Ice Age shelters. “The growth ring widths in the charcoal we recovered are mostly very narrow, suggesting that trees were clinging on at the edge of their tolerance limits,” Pryor explained. He added that some of the bones in the ring were articulated, indicating they had been added to the structure along with their cartilage and fat, making the dwelling a smelly draw for wolves, foxes, and other scavengers. Future research will investigate if the structure could have been used for food storage or as a winter gathering place. "
https://www.archaeology.org/news/8815-200623-wales-lead-ingot,Roman,"Roman Lead Ingot Discovered in Wales. ROSSETT, WALES— The Shropshire Star reports that a metal detectorist alerted a local finds officer for the Portable Antiquities Scheme in Wales after uncovering the corner of a metal object that appeared to have markings on it. Archaeologists from Wrexham Museum and the Clwyd-Powys Archaeological Trust who reported to the scene unearthed a large lead ingot measuring about one and one-half feet long and weighing nearly 140 pounds. The writing on the possibly ancient ingot turned out to be a cast Latin inscription mentioning Marcus Trebellius Maximus, governor of the province of Britannia from A.D. 63 to 69. “We don’t yet know where this ingot has come from and we will probably never know where it was going to,” said Finds Officer Susie White. “However given the find spots of other ingots from Britain of similar date, it may have been destined for continental Europe, perhaps even Rome itself.” "
